label,sub-labels
actin_filaments,Actin cytoplasmic 1
actin_filaments,Actin cytoplasmic 2
actin_filaments,gamma-enteric smooth muscle
actin_filaments,Actin
actin_filaments,alpha skeletal muscle
cell_junctions,Cell junction
cell_junctions,Cell junction Adherens junction
cell_junctions,Cell junction Desmosome
cell_junctions,Cell junction Focal adhesion
cell_junctions,Cell junction Gap junction
cell_junctions,Cell junction Hemidesmosome
cell_junctions,Cell junction Paranodal septate junction
cell_junctions,Cell junction Tight junction
cytoplasmic_bodies,Cytoplasm P-body
cytoskeleton,Cytoplasm Cytoskeleton
cytoskeleton,Cytoplasm Cytoskeleton Cilium axoneme
cytoskeleton,Cytoplasm Cytoskeleton Cilium basal body
cytoskeleton,Cytoplasm Cytoskeleton Flagellum axoneme
microtubule_organizing_center,Cytoplasm Cytoskeleton Microtubule organizing center
centrosome,Cytoplasm Cytoskeleton Microtubule organizing center Centrosome
centrosome,Cytoplasm Cytoskeleton Microtubule organizing center Centrosome Centriole
microtubule_organizing_center,Cytoplasm Cytoskeleton Microtubule organizing center Spindle pole body
cytoskeleton,Cytoplasm Cytoskeleton Spindle
cytoskeleton,Cytoplasm Cytoskeleton Spindle pole
cytoskeleton,Cytoplasm Cytoskeleton Stress fiber
cytoskeleton,Dynein axonemal particle
cytosol,Cytolytic granule
cytosol,Cytolytic granule membrane
cytosol,Cytoplasm
cytosol,Cytoplasm Cell cortex
cytosol,Cytoplasm Cytosol
cytosol,Cytoplasm Perinuclear region
cytosol,Cytoplasm Stress granule
cytosol,Cytoplasmic granule
vesicle,Cytoplasmic vesicle
vesicle,Cytoplasmic vesicle Autophagosome
vesicle,Cytoplasmic vesicle Autophagosome lumen
vesicle_membrane,Cytoplasmic vesicle Autophagosome membrane
vesicle_membrane,Cytoplasmic vesicle Autophagosome membrane Lipid-anchor
vesicle_membrane,Cytoplasmic vesicle Autophagosome membrane Multi-pass membrane protein
vesicle_membrane,Cytoplasmic vesicle Autophagosome membrane Peripheral membrane protein Cytoplasmic side
vesicle_membrane,Cytoplasmic vesicle COPII-coated vesicle membrane Multi-pass membrane protein
vesicle,Cytoplasmic vesicle Clathrin-coated vesicle
vesicle_membrane,Cytoplasmic vesicle Clathrin-coated vesicle membrane
vesicle_membrane,Cytoplasmic vesicle Clathrin-coated vesicle membrane Peripheral membrane protein
vesicle_membrane,Cytoplasmic vesicle Clathrin-coated vesicle membrane Single-pass type I membrane protein
