uniprot	swissprot	drug_name	act_value	act_type	action_type	source_name	reference	smiles	ChEMBL_Id
P42338	PK3CB_HUMAN	copanlisib	8.431797981262207	IC50	INHIBITOR	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/24170767	COC1=C(OCCCN2CCOCC2)C=CC2=C1N=C(NC(=O)C1=CN=C(N)N=C1)N1CCN=C21	CHEMBL3218576
P21917	DRD4_HUMAN	brexpiprazole	8.200659451	Ki	AGONIST	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/24947465	O=C1NC2=C(C=C1)C=CC(OCCCCN1CCN(CC1)C1=C3C=CSC3=CC=C1)=C2	CHEMBL2105760
P50406	5HT6R_HUMAN	brexpiprazole	7.236572006	Ki		SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/24947465	O=C1NC2=C(C=C1)C=CC(OCCCCN1CCN(CC1)C1=C3C=CSC3=CC=C1)=C2	CHEMBL2105760
P51575	P2RX1_HUMAN	adenosine triphosphate	7.25	EC50	AGONIST	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=1713	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	CHEMBL14249
Q99571	P2RX4_HUMAN	adenosine triphosphate	6.3	EC50	AGONIST	IUPHAR	http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=1713	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	CHEMBL14249
Q9UKK3	PARP4_HUMAN	rucaparib	6.079999923706055	IC50	INHIBITOR	SCIENTIFIC LITERATURE	http://dx.doi.org/10.1021/acs.jmedchem.6b00990	CNCC1=CC=C(C=C1)C1=C2CCNC(=O)C3=CC(F)=CC(N1)=C23	CHEMBL1173055
O95271	TNKS1_HUMAN	rucaparib	6.840000152587891	IC50	INHIBITOR	SCIENTIFIC LITERATURE	http://dx.doi.org/10.1021/acs.jmedchem.6b00990	CNCC1=CC=C(C=C1)C1=C2CCNC(=O)C3=CC(F)=CC(N1)=C23	CHEMBL1173055
Q9H2K2	TNKS2_HUMAN	rucaparib	6.050000190734863	IC50	INHIBITOR	SCIENTIFIC LITERATURE	http://dx.doi.org/10.1021/acs.jmedchem.6b00990	CNCC1=CC=C(C=C1)C1=C2CCNC(=O)C3=CC(F)=CC(N1)=C23	CHEMBL1173055
Q53GL7	PAR10_HUMAN	rucaparib	6.25	IC50	INHIBITOR	SCIENTIFIC LITERATURE	http://dx.doi.org/10.1021/acs.jmedchem.6b00990	CNCC1=CC=C(C=C1)C1=C2CCNC(=O)C3=CC(F)=CC(N1)=C23	CHEMBL1173055
Q9HC97	GPR35_HUMAN	lodoxamide	8.793173789978027	EC50	AGONIST	SCIENTIFIC LITERATURE	http://www.ncbi.nlm.nih.gov/pubmed/24113750	OC(=O)C(=O)NC1=CC(=CC(NC(=O)C(O)=O)=C1Cl)C#N	CHEMBL1201175
